Unnamed: 0,index,pp01,year,month,ten_days,stno
50,,26.0,1999.0,9.0,2,C0G650
52,,0.0,1999.0,9.0,3,C0G650
54,,8.0,1999.0,10.0,1,C0G650
56,,0.0,1999.0,10.0,2,C0G650
58,,0.0,1999.0,10.0,3,C0G650
60,,1.0,1999.0,11.0,1,C0G650
62,,0.0,1999.0,11.0,2,C0G650
64,,1.0,1999.0,11.0,3,C0G650
66,,0.0,1999.0,12.0,1,C0G650
68,,23.5,1999.0,12.0,2,C0G650
70,,0.5,1999.0,12.0,3,C0G650
0,,0.0,2000.0,1.0,1,C0G650
2,,0.0,2000.0,1.0,2,C0G650
4,,17.0,2000.0,1.0,3,C0G650
6,,0.0,2000.0,2.0,1,C0G650
8,,17.5,2000.0,2.0,2,C0G650
10,,129.5,2000.0,2.0,3,C0G650
12,,1.0,2000.0,3.0,1,C0G650
14,,27.0,2000.0,3.0,2,C0G650
16,,0.0,2000.0,3.0,3,C0G650
18,,73.0,2000.0,4.0,1,C0G650
20,,12.0,2000.0,4.0,2,C0G650
22,,135.0,2000.0,4.0,3,C0G650
24,,11.0,2000.0,5.0,1,C0G650
26,,0.0,2000.0,5.0,2,C0G650
28,,0.5,2000.0,5.0,3,C0G650
30,,26.5,2000.0,6.0,1,C0G650
32,,193.5,2000.0,6.0,2,C0G650
34,,22.5,2000.0,6.0,3,C0G650
36,,119.0,2000.0,7.0,1,C0G650
38,,39.5,2000.0,7.0,2,C0G650
40,,62.5,2000.0,7.0,3,C0G650
42,,130.5,2000.0,8.0,1,C0G650
44,,93.0,2000.0,8.0,2,C0G650
46,,130.5,2000.0,8.0,3,C0G650
48,,31.0,2000.0,9.0,1,C0G650
50,,8.5,2000.0,9.0,2,C0G650
52,,0.0,2000.0,9.0,3,C0G650
54,,0.0,2000.0,10.0,1,C0G650
56,,2.0,2000.0,10.0,2,C0G650
58,,49.5,2000.0,10.0,3,C0G650
60,,13.0,2000.0,11.0,1,C0G650
62,,0.0,2000.0,11.0,2,C0G650
64,,1.0,2000.0,11.0,3,C0G650
66,,0.0,2000.0,12.0,1,C0G650
68,,59.5,2000.0,12.0,2,C0G650
70,,0.0,2000.0,12.0,3,C0G650
0,,0.0,2001.0,1.0,1,C0G650
2,,0.0,2001.0,1.0,2,C0G650
4,,58.5,2001.0,1.0,3,C0G650
6,,2.5,2001.0,2.0,1,C0G650
8,,0.0,2001.0,2.0,2,C0G650
10,,0.0,2001.0,2.0,3,C0G650
12,,2.5,2001.0,3.0,1,C0G650
14,,1.5,2001.0,3.0,2,C0G650
16,,42.5,2001.0,3.0,3,C0G650
18,,57.0,2001.0,4.0,1,C0G650
20,,60.0,2001.0,4.0,2,C0G650
22,,17.0,2001.0,4.0,3,C0G650
24,,31.0,2001.0,5.0,1,C0G650
26,,107.5,2001.0,5.0,2,C0G650
28,,84.0,2001.0,5.0,3,C0G650
30,,64.5,2001.0,6.0,1,C0G650
32,,100.5,2001.0,6.0,2,C0G650
34,,40.5,2001.0,6.0,3,C0G650
36,,47.5,2001.0,7.0,1,C0G650
38,,73.0,2001.0,7.0,2,C0G650
40,,244.5,2001.0,7.0,3,C0G650
42,,1.0,2001.0,8.0,1,C0G650
44,,7.5,2001.0,8.0,2,C0G650
46,,37.0,2001.0,8.0,3,C0G650
48,,119.5,2001.0,9.0,1,C0G650
50,,380.5,2001.0,9.0,2,C0G650
52,,64.5,2001.0,9.0,3,C0G650
54,,0.0,2001.0,10.0,1,C0G650
56,,0.0,2001.0,10.0,2,C0G650
58,,1.0,2001.0,10.0,3,C0G650
60,,0.0,2001.0,11.0,1,C0G650
62,,2.5,2001.0,11.0,2,C0G650
64,,0.0,2001.0,11.0,3,C0G650
66,,4.0,2001.0,12.0,1,C0G650
68,,1.5,2001.0,12.0,2,C0G650
70,,0.0,2001.0,12.0,3,C0G650
0,,0.0,2002.0,1.0,1,C0G650
2,,11.0,2002.0,1.0,2,C0G650
4,,16.0,2002.0,1.0,3,C0G650
6,,0.5,2002.0,2.0,1,C0G650
