,index,pp01,year,month,ten_days,stno
57,,0.0,2002.0,10.0,2,C1X090
59,,0.0,2002.0,10.0,3,C1X090
61,,0.0,2002.0,11.0,1,C1X090
63,,0.0,2002.0,11.0,2,C1X090
65,,0.0,2002.0,11.0,3,C1X090
67,,0.0,2002.0,12.0,1,C1X090
69,,46.0,2002.0,12.0,2,C1X090
71,,28.5,2002.0,12.0,3,C1X090
1,,13.0,2003.0,1.0,1,C1X090
3,,0.0,2003.0,1.0,2,C1X090
5,,5.5,2003.0,1.0,3,C1X090
7,,18.5,2003.0,2.0,1,C1X090
9,,0.0,2003.0,2.0,2,C1X090
11,,0.0,2003.0,2.0,3,C1X090
13,,10.5,2003.0,3.0,1,C1X090
15,,0.0,2003.0,3.0,2,C1X090
17,,0.0,2003.0,3.0,3,C1X090
19,,65.5,2003.0,4.0,1,C1X090
21,,0.5,2003.0,4.0,2,C1X090
23,,0.0,2003.0,4.0,3,C1X090
25,,1.0,2003.0,5.0,1,C1X090
27,,30.5,2003.0,5.0,2,C1X090
29,,0.0,2003.0,5.0,3,C1X090
31,,208.0,2003.0,6.0,1,C1X090
33,,147.0,2003.0,6.0,2,C1X090
35,,23.0,2003.0,6.0,3,C1X090
37,,21.0,2003.0,7.0,1,C1X090
39,,0.0,2003.0,7.0,2,C1X090
41,,1.5,2003.0,7.0,3,C1X090
43,,61.0,2003.0,8.0,1,C1X090
45,,52.5,2003.0,8.0,2,C1X090
47,,0.5,2003.0,8.0,3,C1X090
49,,57.0,2003.0,9.0,1,C1X090
51,,0.0,2003.0,9.0,2,C1X090
53,,20.5,2003.0,9.0,3,C1X090
55,,0.0,2003.0,10.0,1,C1X090
57,,0.0,2003.0,10.0,2,C1X090
59,,0.0,2003.0,10.0,3,C1X090
61,,0.0,2003.0,11.0,1,C1X090
63,,0.0,2003.0,11.0,2,C1X090
65,,4.5,2003.0,11.0,3,C1X090
67,,0.0,2003.0,12.0,1,C1X090
69,,0.0,2003.0,12.0,2,C1X090
71,,0.0,2003.0,12.0,3,C1X090
1,,0.0,2004.0,1.0,1,C1X090
3,,7.0,2004.0,1.0,2,C1X090
5,,0.0,2004.0,1.0,3,C1X090
7,,6.5,2004.0,2.0,1,C1X090
9,,0.0,2004.0,2.0,2,C1X090
11,,0.0,2004.0,2.0,3,C1X090
13,,3.5,2004.0,3.0,1,C1X090
15,,0.0,2004.0,3.0,2,C1X090
17,,19.0,2004.0,3.0,3,C1X090
19,,35.5,2004.0,4.0,1,C1X090
21,,8.0,2004.0,4.0,2,C1X090
23,,0.0,2004.0,4.0,3,C1X090
25,,1.5,2004.0,5.0,1,C1X090
27,,19.5,2004.0,5.0,2,C1X090
29,,26.0,2004.0,5.0,3,C1X090
31,,2.5,2004.0,6.0,1,C1X090
33,,1.0,2004.0,6.0,2,C1X090
35,,6.0,2004.0,6.0,3,C1X090
37,,287.0,2004.0,7.0,1,C1X090
39,,29.5,2004.0,7.0,2,C1X090
41,,40.5,2004.0,7.0,3,C1X090
43,,1.5,2004.0,8.0,1,C1X090
